normal,modified,diff
0.00010991096496582031,1.4066696166992188e-05,0
7.081031799316406e-05,3.0994415283203125e-06,0
8.702278137207031e-05,1.9073486328125e-06,0
6.794929504394531e-05,1.9073486328125e-06,0
6.794929504394531e-05,2.1457672119140625e-06,0
9.012222290039062e-05,1.6927719116210938e-05,0E+3
8.0108642578125e-05,3.0994415283203125e-06,0E+5
9.417533874511719e-05,5.9604644775390625e-06,0E+8
7.200241088867188e-05,5.9604644775390625e-06,0E+10
9.202957153320312e-05,6.198883056640625e-06,0E+13
9.489059448242188e-05,5.9604644775390625e-06,0E+15
7.200241088867188e-05,5.9604644775390625e-06,0E+18
9.202957153320312e-05,8.106231689453125e-06,0E+20
9.298324584960938e-05,7.152557373046875e-06,0E+23
7.104873657226562e-05,6.9141387939453125e-06,0E+25
9.202957153320312e-05,8.106231689453125e-06,0E+28
9.489059448242188e-05,8.106231689453125e-06,0E+30
6.985664367675781e-05,7.152557373046875e-06,0E+32
0.0001227855682373047,8.106231689453125e-06,0E+35
9.298324584960938e-05,9.059906005859375e-06,0E+37
6.794929504394531e-05,7.152557373046875e-06,0E+40
8.988380432128906e-05,9.059906005859375e-06,0E+42
9.107589721679688e-05,1.0013580322265625e-05,0E+45
7.891654968261719e-05,8.106231689453125e-06,0E+47
9.012222290039062e-05,1.0013580322265625e-05,0E+50
8.988380432128906e-05,1.1205673217773438e-05,0E+52
6.699562072753906e-05,8.821487426757812e-06,0E+54
8.916854858398438e-05,1.0967254638671875e-05,0E+57
8.988380432128906e-05,1.2159347534179688e-05,0E+59
6.604194641113281e-05,9.775161743164062e-06,0E+62
8.893013000488281e-05,1.2159347534179688e-05,0E+64
8.797645568847656e-05,1.4066696166992188e-05,0E+67
6.580352783203125e-05,1.0967254638671875e-05,0E+69
8.606910705566406e-05,1.2159347534179688e-05,0E+71
8.797645568847656e-05,1.3828277587890625e-05,0E+74
7.605552673339844e-05,1.0967254638671875e-05,0E+76
8.702278137207031e-05,1.4066696166992188e-05,0E+79
8.797645568847656e-05,1.5020370483398438e-05,0E+81
6.4849853515625e-05,1.2159347534179688e-05,0E+84
8.678436279296875e-05,1.3828277587890625e-05,0E+86
8.606910705566406e-05,1.6927719116210938e-05,0E+88
6.389617919921875e-05,1.2159347534179688e-05,0E+91
8.606910705566406e-05,1.5974044799804688e-05,0E+93
8.606910705566406e-05,1.6927719116210938e-05,0E+96
7.319450378417969e-05,1.2874603271484375e-05,0E+98
8.511543273925781e-05,1.5974044799804688e-05,0E+100
8.487701416015625e-05,1.9073486328125e-05,0E+103
6.198883056640625e-05,1.2874603271484375e-05,0E+105
8.320808410644531e-05,1.5974044799804688e-05,0E+108
8.392333984375e-05,1.811981201171875e-05,0E+110
6.985664367675781e-05,1.3828277587890625e-05,0E+112
8.20159912109375e-05,1.7881393432617188e-05,0E+115
8.392333984375e-05,2.002716064453125e-05,0E+117
6.103515625e-05,1.5020370483398438e-05,0E+120
8.392333984375e-05,1.6927719116210938e-05,0E+122
8.296966552734375e-05,2.09808349609375e-05,0E+124
7.200241088867188e-05,1.5020370483398438e-05,0E+127
8.177757263183594e-05,1.7881393432617188e-05,0E+129
8.296966552734375e-05,2.193450927734375e-05,0E+132
6.985664367675781e-05,1.621246337890625e-05,0E+134
8.296966552734375e-05,2.193450927734375e-05,0E+136
8.20159912109375e-05,2.2172927856445312e-05,0E+139
7.200241088867188e-05,1.6927719116210938e-05,0E+141
6.985664367675781e-05,3.218650817871094e-05,0E+144
8.20159912109375e-05,2.4080276489257812e-05,0E+146
7.486343383789062e-05,1.811981201171875e-05,0E+148
7.104873657226562e-05,3.3855438232421875e-05,0E+151
8.0108642578125e-05,2.4080276489257812e-05,0E+153
5.91278076171875e-05,1.7881393432617188e-05,0E+155
8.0108642578125e-05,2.09808349609375e-05,0E+158
7.987022399902344e-05,2.5033950805664062e-05,0E+160
6.914138793945312e-05,1.8835067749023438e-05,0E+162
6.794929504394531e-05,3.409385681152344e-05,0E+165
7.987022399902344e-05,2.7179718017578125e-05,0E+167
5.793571472167969e-05,2.002716064453125e-05,0E+170
6.914138793945312e-05,3.1948089599609375e-05,0E+172
7.891654968261719e-05,2.6941299438476562e-05,0E+174
6.890296936035156e-05,2.002716064453125e-05,0E+177
6.914138793945312e-05,3.981590270996094e-05,0E+179
7.891654968261719e-05,2.9087066650390625e-05,0E+181
6.890296936035156e-05,2.2172927856445312e-05,0E+184
6.794929504394531e-05,3.600120544433594e-05,0E+186
7.891654968261719e-05,3.0040740966796875e-05,0E+188
6.29425048828125e-05,2.193450927734375e-05,0E+191
6.508827209472656e-05,5.1021575927734375e-05,0E+193
6.198883056640625e-05,3.0040740966796875e-05,0E+195
6.604194641113281e-05,3.0040740966796875e-05,0E+198
6.794929504394531e-05,2.09808349609375e-05,0E+200
7.605552673339844e-05,3.314018249511719e-05,0E+202
6.699562072753906e-05,2.288818359375e-05,0E+205
6.699562072753906e-05,3.790855407714844e-05,0E+207
7.700920104980469e-05,6.508827209472656e-05,0E+209
6.580352783203125e-05,2.4080276489257812e-05,0E+212
6.818771362304688e-05,3.886222839355469e-05,0E+214
7.700920104980469e-05,3.409385681152344e-05,0E+216
6.699562072753906e-05,2.5033950805664062e-05,0E+219
6.699562072753906e-05,4.100799560546875e-05,0E+221
7.700920104980469e-05,3.600120544433594e-05,0E+223
6.580352783203125e-05,2.5987625122070312e-05,0E+225
6.699562072753906e-05,4.100799560546875e-05,0E+228
7.605552673339844e-05,3.695487976074219e-05,0E+230
6.508827209472656e-05,2.6941299438476562e-05,0E+232
6.604194641113281e-05,4.1961669921875e-05,0E+235
7.390975952148438e-05,3.790855407714844e-05,0E+237
5.2928924560546875e-05,2.8133392333984375e-05,0E+239
6.4849853515625e-05,4.100799560546875e-05,0E+242
7.486343383789062e-05,3.814697265625e-05,0E+244
6.508827209472656e-05,2.7894973754882812e-05,0E+246
6.389617919921875e-05,4.410743713378906e-05,0E+248
7.390975952148438e-05,3.981590270996094e-05,0E+251
6.389617919921875e-05,2.9087066650390625e-05,0E+253
6.389617919921875e-05,4.506111145019531e-05,0E+255
7.295608520507812e-05,4.100799560546875e-05,0E+258
6.508827209472656e-05,3.0040740966796875e-05,0E+260
6.198883056640625e-05,4.601478576660156e-05,0E+262
7.295608520507812e-05,4.315376281738281e-05,0E+264
5.1975250244140625e-05,3.0040740966796875e-05,0E+267
6.389617919921875e-05,4.506111145019531e-05,0E+269
7.200241088867188e-05,4.291534423828125e-05,0E+271
5.2928924560546875e-05,3.0994415283203125e-05,0E+273
6.29425048828125e-05,4.601478576660156e-05,0E+276
7.200241088867188e-05,4.410743713378906e-05,0E+278
6.318092346191406e-05,3.1948089599609375e-05,0E+280
6.198883056640625e-05,4.792213439941406e-05,0E+282
7.081031799316406e-05,4.482269287109375e-05,0E+285
6.29425048828125e-05,3.2901763916015625e-05,0E+287
6.079673767089844e-05,4.792213439941406e-05,0E+289
6.890296936035156e-05,4.696846008300781e-05,0E+291
6.103515625e-05,3.2901763916015625e-05,0E+294
6.103515625e-05,4.982948303222656e-05,0E+296
7.104873657226562e-05,4.792213439941406e-05,0E+298
6.198883056640625e-05,3.504753112792969e-05,0E+300
6.008148193359375e-05,5.1021575927734375e-05,0E+303
6.985664367675781e-05,5.0067901611328125e-05,0E+305
6.198883056640625e-05,3.600120544433594e-05,0E+307
5.2928924560546875e-05,5.1975250244140625e-05,0E+309
6.794929504394531e-05,5.1021575927734375e-05,0E+311
5.0067901611328125e-05,3.600120544433594e-05,0E+314
5.888938903808594e-05,5.2928924560546875e-05,0E+316
6.794929504394531e-05,5.1975250244140625e-05,0E+318
6.198883056640625e-05,3.814697265625e-05,0E+320
4.792213439941406e-05,6.198883056640625e-05,0E+323
6.794929504394531e-05,5.2928924560546875e-05,0E+325
6.198883056640625e-05,3.790855407714844e-05,0E+327
4.9114227294921875e-05,6.103515625e-05,0E+329
6.604194641113281e-05,5.412101745605469e-05,0E+331
6.103515625e-05,3.910064697265625e-05,0E+333
4.696846008300781e-05,6.508827209472656e-05,0E+336
6.604194641113281e-05,5.507469177246094e-05,0E+338
5.888938903808594e-05,4.00543212890625e-05,0E+340
4.792213439941406e-05,6.604194641113281e-05,0E+342
6.508827209472656e-05,5.698204040527344e-05,0E+344
5.984306335449219e-05,3.981590270996094e-05,0E+347
4.696846008300781e-05,6.604194641113281e-05,0E+349
6.29425048828125e-05,5.888938903808594e-05,0E+351
6.103515625e-05,4.1961669921875e-05,0E+353
4.8160552978515625e-05,9.083747863769531e-05,0E+355
5.817413330078125e-05,4.00543212890625e-05,0E+357
4.315376281738281e-05,5.2928924560546875e-05,0E+360
5.0067901611328125e-05,7.200241088867188e-05,0E+362
6.008148193359375e-05,4.291534423828125e-05,0E+364
4.601478576660156e-05,6.985664367675781e-05,0E+366
4.38690185546875e-05,6.604194641113281e-05,0E+368
7.081031799316406e-05,6.198883056640625e-05,0E+370
6.29425048828125e-05,8.296966552734375e-05,0E+372
6.389617919921875e-05,0.00011491775512695312,0E+375
6.413459777832031e-05,6.4849853515625e-05,0E+377
6.29425048828125e-05,6.198883056640625e-05,0E+379
4.601478576660156e-05,7.891654968261719e-05,0E+381
5.888938903808594e-05,4.506111145019531e-05,0E+383
4.601478576660156e-05,7.295608520507812e-05,0E+385
4.8160552978515625e-05,7.796287536621094e-05,0E+387
5.888938903808594e-05,4.601478576660156e-05,0E+389
4.506111145019531e-05,7.104873657226562e-05,0E+392
6.198883056640625e-05,6.604194641113281e-05,0E+394
5.793571472167969e-05,4.696846008300781e-05,0E+396
4.482269287109375e-05,7.510185241699219e-05,0E+398
4.601478576660156e-05,8.20159912109375e-05,0E+400
5.793571472167969e-05,4.792213439941406e-05,0E+402
4.38690185546875e-05,7.414817810058594e-05,0E+404
4.506111145019531e-05,8.296966552734375e-05,0E+406
5.793571472167969e-05,4.9114227294921875e-05,0E+408
4.38690185546875e-05,7.605552673339844e-05,0E+410
4.506111145019531e-05,8.487701416015625e-05,0E+412
5.793571472167969e-05,4.9114227294921875e-05,0E+414
4.315376281738281e-05,7.796287536621094e-05,0E+417
4.601478576660156e-05,8.606910705566406e-05,0E+419
5.793571472167969e-05,5.1021575927734375e-05,0E+421
4.291534423828125e-05,7.510185241699219e-05,0E+423
4.506111145019531e-05,8.678436279296875e-05,0E+425
5.698204040527344e-05,5.1975250244140625e-05,0E+427
4.1961669921875e-05,7.605552673339844e-05,0E+429
4.410743713378906e-05,8.797645568847656e-05,0E+431
5.793571472167969e-05,5.2928924560546875e-05,0E+433
4.315376281738281e-05,7.700920104980469e-05,0E+435
4.410743713378906e-05,8.893013000488281e-05,0E+437
5.793571472167969e-05,5.316734313964844e-05,0E+439
4.291534423828125e-05,7.700920104980469e-05,0E+441
4.410743713378906e-05,9.107589721679688e-05,0E+443
5.793571472167969e-05,5.412101745605469e-05,0E+445
4.291534423828125e-05,7.891654968261719e-05,0E+447
4.38690185546875e-05,9.107589721679688e-05,0E+449
5.698204040527344e-05,5.507469177246094e-05,0E+451
4.1961669921875e-05,8.0108642578125e-05,0E+453
4.38690185546875e-05,9.322166442871094e-05,0E+455
5.817413330078125e-05,5.602836608886719e-05,0E+457
4.1961669921875e-05,8.0108642578125e-05,0E+459
4.410743713378906e-05,9.489059448242188e-05,0E+461
5.888938903808594e-05,5.698204040527344e-05,0E+463
4.315376281738281e-05,7.295608520507812e-05,0E+465
4.38690185546875e-05,9.512901306152344e-05,0E+467
5.91278076171875e-05,5.793571472167969e-05,0E+469
4.1961669921875e-05,7.414817810058594e-05,0E+471
4.410743713378906e-05,9.679794311523438e-05,0E+473
5.602836608886719e-05,5.888938903808594e-05,0E+475
4.100799560546875e-05,8.296966552734375e-05,0E+477
4.315376281738281e-05,9.703636169433594e-05,0E+478
5.698204040527344e-05,5.984306335449219e-05,0E+480
4.100799560546875e-05,7.486343383789062e-05,0E+482
4.291534423828125e-05,9.894371032714844e-05,0E+484
5.817413330078125e-05,6.103515625e-05,0E+486
4.100799560546875e-05,7.700920104980469e-05,0E+488
4.1961669921875e-05,9.989738464355469e-05,0E+490
5.793571472167969e-05,6.198883056640625e-05,0E+492
4.100799560546875e-05,7.605552673339844e-05,0E+494
4.1961669921875e-05,0.00010204315185546875,0E+496
5.698204040527344e-05,6.318092346191406e-05,0E+497
4.100799560546875e-05,7.82012939453125e-05,0E+499
4.100799560546875e-05,0.00010204315185546875,0E+501
5.698204040527344e-05,6.318092346191406e-05,0E+503
4.100799560546875e-05,7.987022399902344e-05,0E+505
4.1961669921875e-05,0.00010395050048828125,0E+507
5.698204040527344e-05,6.389617919921875e-05,0E+509
4.1961669921875e-05,7.987022399902344e-05,0E+510
4.1961669921875e-05,0.0001049041748046875,0E+512
5.507469177246094e-05,8.296966552734375e-05,0E+514
5.698204040527344e-05,6.604194641113281e-05,0E+516
4.100799560546875e-05,0.00010585784912109375,0E+518
5.698204040527344e-05,6.794929504394531e-05,0E+519
3.981590270996094e-05,8.20159912109375e-05,0E+521
5.2928924560546875e-05,0.00011706352233886719,0E+523
4.100799560546875e-05,0.00011396408081054688,0E+525
5.793571472167969e-05,0.0001049041748046875,0E+527
4.100799560546875e-05,0.00011086463928222656,0E+528
4.100799560546875e-05,9.584426879882812e-05,0E+530
4.291534423828125e-05,0.00010704994201660156,0E+532
3.814697265625e-05,9.608268737792969e-05,0E+534
3.814697265625e-05,7.581710815429688e-05,0E+535
4.291534423828125e-05,0.00011301040649414062,0E+537
4.100799560546875e-05,0.00010704994201660156,0E+539
